,cited,citing
0,2116575643,1011306238
1,1999980539,1043101226
2,2043137667,104458941
3,1872415695,1045629360
4,2080722315,1172334943
5,2116575643,1172334943
6,2152685121,1184279270
7,2116575643,1191527691
8,1963659802,1197784193
9,2128911123,1200532980
10,2059163840,1231628343
11,2080722315,126929540
12,1872415695,143205901
13,2116575643,1468262487
14,2149267325,1485988632
15,2021540580,1488569243
16,1955749066,1496447784
17,2079432766,1502183989
18,1983857714,1503208502
19,2128911123,1505263784
20,2038566661,1505519009
21,1872415695,1505553275
22,2128911123,1506517477
23,2116575643,150856054
24,1872415695,1508922578
25,2149267325,1514664039
26,2116575643,1516312676
27,2090386458,1517527467
28,2090386458,1520879087
29,2128911123,1521377161
30,1985937780,1523324408
31,2128911123,1528367694
32,1872415695,1528370171
33,1777158690,1532932069
34,1955749066,1533083527
35,2031056087,1543223119
36,1955749066,1544772476
37,1985937780,1546699666
38,2116575643,1549955539
39,1872415695,1552322825
40,1872415695,1554436272
41,2013615788,1554448047
42,1872415695,1555939115
43,2128911123,1558816041
44,1777158690,1560971413
45,2116575643,1561038238
46,1777158690,1564582027
47,2045042964,1566551311
48,2021540580,1568099383
49,2021540580,1570239251
50,2128911123,1570828244
51,1985937780,1571238162
52,1872415695,1575880824
53,2128911123,1577592371
54,1963496955,1581325633
55,2021540580,1590572075
56,2026053376,1590572075
57,2116575643,1591209396
58,1955749066,1592670194
59,2079432766,1602102908
60,2055442286,1607593423
61,2149267325,1636714890
62,2043137667,1644157947
63,2116294743,1652943971
64,2116294743,1659958497
65,2128911123,1671751822
66,1963659802,1680683620
67,1955749066,1691836324
68,2116575643,1708085422
69,2043137667,1716917875
70,2115725378,1743190515
71,1872415695,1751822358
72,1990485931,1759895090
73,2116294743,1761049092
74,2128911123,1762048912
75,2031056087,1766158111
76,2026053376,1769724377
77,1872415695,1771463019
78,1963496955,1780265942
79,2021540580,1786193818
80,2043137667,1792773842
81,2091809154,1792773842
82,2094243257,1792773842
83,1955749066,1795007801
84,1872415695,1799889357
85,2021540580,1806253527
86,2116294743,1810499335
87,1970317281,1817612552
88,2055442286,1823235324
89,1985937780,1826690952
90,1872415695,1828009654
91,1985937780,1829278652
92,2094474816,1830517732
93,2128911123,1830803959
94,1872415695,1836129825
95,2021540580,1837852820
96,2079432766,1837958344
97,2032262352,1839630246
98,2128911123,1839892716
99,2128911123,1855401231
100,1872415695,1855836648
101,2128911123,1863157595
102,2128911123,1887117552
103,1718505018,1888047523
104,2116294743,1890278268
105,1872415695,1891945373
106,1999636793,1900399044
107,2128911123,1903308397
108,1989390854,1907347780
109,1955749066,1915559293
110,2116575643,1919624513
111,2090386458,1934095247
112,1955749066,1937186926
113,2128911123,1941513589
114,1985937780,1944619417
115,2128911123,1948131668
116,1955749066,1948374314
117,2013615788,1952337268
118,2038566661,1963571994
119,2026053376,1963918693
120,2090386458,1964117853
121,1983857714,1964558575
122,1872415695,196456357
123,1985937780,1964713599
124,2116575643,1964766412
125,1983857714,1965502990
126,2066346768,1965582546
127,1985937780,1966152194
128,1872415695,1966744811
129,2116575643,1966913051
130,1872415695,1967123199
131,2018743103,1967123199
132,2094243257,1967252334
133,1872415695,1967414062
134,1872415695,1967516159
135,1872415695,1967949260
136,2045042964,1968046774
137,2149267325,1968102034
138,2090386458,1968470708
139,1963496955,1969097307
140,1970317281,1969233867
141,2087518428,1969760711
142,2090386458,1969923828
143,2165208129,1969981611
144,2090386458,1970211697
145,2091335227,1970253138
146,1872415695,1970405099
147,2038566661,1971287178
148,1990485931,1972225872
149,2021540580,1972516450
150,1872415695,1972735470
151,2148704072,1972922076
152,1963496955,1973638101
153,1955749066,1974089936
154,1955749066,1974440755
155,2018743103,1974576594
156,2116575643,1974905359
157,1955749066,1974967198
158,2006181115,1975525510
159,1872415695,1975536410
160,1963496955,1975747416
161,1872415695,1976022226
162,2149267325,1976156099
163,2034273542,1976852392
164,1990485931,1977040864
165,2090386458,1977401594
166,1990485931,1977437964
167,2116575643,1977563255
168,2116294743,1977597971
169,1872415695,1977655472
170,1955749066,1978244529
171,2116294743,1978265849
172,1955749066,1978619387
173,2116575643,1978780148
174,1955749066,1978986235
175,2148704072,1979116104
176,2090386458,1979526578
177,2128911123,1979526578
178,2022648076,1980043784
179,2116575643,1980447169
180,1955749066,1980483554
181,2129214383,1980818403
182,1990485931,1982070239
183,1955749066,1982315980
184,1872415695,1982564000
185,1955749066,1982564000
186,2149267325,1982985179
187,1872415695,1983063801
188,2018743103,1983082391
189,1872415695,1983358347
190,1777158690,1984001925
191,1872415695,1984100629
192,1985937780,1984174969
193,2128911123,1984250866
194,2129214383,1984489863
195,1985937780,1984986543
196,1985937780,1986658444
197,1990485931,1987166369
198,2018743103,1987683954
199,1955749066,1987708126
200,2087518428,1987774202
201,1777158690,1987776520
202,2090373730,1987838894
203,1777158690,1987903315
204,2021540580,1988021220
205,1872415695,1988422346
206,2116575643,1988534648
207,1963496955,1988610115
208,1777158690,1988775723
209,1872415695,1988845311
210,1872415695,1988917355
211,2128911123,1989301895
212,2094243257,1989640520
213,2026053376,1991119149
214,1963496955,1991146837
215,1872415695,1991327640
216,2116575643,1991558333
217,2152685121,1991568859
218,2026053376,1991747566
219,1955749066,1992708535
220,2116575643,1992878124
221,2129214383,1992907683
222,2116575643,1992907782
223,2128911123,1993161226
224,1830029370,1993347040
225,2129214383,1993531957
226,1872415695,1993614985
227,2128911123,1993663340
228,1872415695,1993673503
229,2132760890,1993717658
230,2055442286,1993785269
231,2116575643,1994215021
232,1872415695,1995791427
233,1872415695,1995820904
234,2045042964,1995829783
235,2152685121,1996933319
236,1872415695,1997284935
237,1777158690,1997542171
238,1955749066,1999041147
239,1872415695,1999501996
240,1872415695,1999817155
241,1970317281,2000036208
242,1985937780,2001112143
243,2094243257,2001616711
244,2128911123,2002567844
245,2090386458,2002728047
246,2128911123,2002864853
247,1872415695,2003060619
248,2116575643,2003216336
249,2090373730,2003919963
250,1955749066,2004455776
251,1830029370,2004854356
252,2128911123,2005122924
253,2090386458,2005495470
254,2090386458,2005880551
255,1872415695,2006471538
256,2116575643,2006556055
257,2116575643,2007240911
258,2128911123,2007482842
259,1777158690,2007578947
260,2038566661,2007645560
261,1777158690,2008061402
262,2043137667,2008069660
263,2116575643,2008564225
264,2128911123,2008853312
265,2132760890,2008853312
266,2090386458,2008882151
267,1777158690,2008978184
268,2090386458,2009603402
269,1989390854,2009950444
270,1963496955,2010165605
271,1955749066,2010385520
272,2116575643,2010792078
273,2045042964,2010884412
274,2128911123,2010884412
275,1985937780,2011426272
276,2128911123,2011443643
277,2013615788,2011542859
278,1872415695,2011572280
279,2116294743,2011778574
280,2116575643,2011869886
281,2128911123,2012286831
282,1990485931,2012483245
283,1983857714,2012635760
284,2079432766,2013219926
285,2091335227,2013257232
286,2128911123,2013459032
287,2116575643,2013607327
288,1872415695,2013701642
289,2116575643,2013922303
290,2148704072,2013979437
291,2043137667,2013995404
